Number,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year
1,Peter Kiss,Boston Univ,27,35.7,25.2,9.1,20.0,0.456,1.9,6.3,0.296,5.1,6.5,0.784,1.4,4.3,5.8,3.2,1.7,0.3,4.2,2.2,2015
2,Darius McGhee,Liberty,33,33.6,24.6,8.4,18.3,0.456,4.3,11.0,0.39,3.6,4.1,0.881,0.5,4.0,4.5,3.6,1.2,0.2,3.0,1.3,2015
3,Antoine Davis,Detroit Mercy,29,37.0,23.9,8.2,19.1,0.429,3.9,10.3,0.379,3.6,4.1,0.882,0.5,3.1,3.6,4.4,1.0,0.0,3.3,1.7,2015
4,Keegan Murray,Iowa,35,31.9,23.5,8.8,15.8,0.554,1.9,4.7,0.398,4.1,5.4,0.747,2.9,5.8,8.7,1.5,1.3,1.9,1.1,1.9,2015
5,Max Abmas,Oral Roberts,30,36.8,22.8,7.5,17.9,0.422,3.8,9.8,0.389,4.0,4.7,0.85,0.3,3.1,3.4,3.7,1.0,0.1,2.3,1.9,2015
6,Bryce Hamilton,Nevada,32,32.2,21.8,7.6,17.8,0.43,2.5,7.2,0.346,4.0,5.3,0.768,0.7,4.3,5.0,2.2,0.8,0.1,1.9,1.8,2015
7,"Terrell Brown, Jr.",Washington,32,36.1,21.7,8.0,17.8,0.452,0.4,1.9,0.2,5.3,6.8,0.772,1.2,3.0,4.2,4.3,2.2,0.5,2.4,1.5,2015
8,Javon Freeman-Liberty,DePaul,24,35.0,21.7,7.3,17.0,0.43,2.0,5.5,0.368,5.0,6.7,0.739,1.8,5.5,7.3,3.2,1.7,0.1,2.2,2.2,2015
9,Tavian Dunn-Martin,Florida Gulf Coast University,33,33.3,21.4,6.7,16.3,0.41,3.2,8.7,0.368,4.8,5.5,0.878,0.5,2.6,3.1,6.0,1.1,0.0,3.7,1.4,2015
10,Daylen Kountz,North Carolina,37,34.3,21.2,7.8,15.2,0.512,1.6,3.8,0.421,4.1,5.0,0.823,0.4,3.7,4.1,2.6,0.8,0.4,2.4,2.3,2015
11,Kofi Cockburn,Illinois,28,30.7,20.9,8.1,13.6,0.593,0.0,0.0,0.0,4.8,7.3,0.655,3.4,7.2,10.6,0.8,0.8,1.0,2.3,2.4,2015
12,Jordan Dingle,Penn,26,31.9,20.9,7.6,17.1,0.446,2.5,7.6,0.335,3.1,3.8,0.81,0.7,3.0,3.6,2.4,0.8,0.0,3.0,1.7,2015
13,Ty Gordon,Norfolk St,29,33.9,20.8,7.8,17.3,0.449,3.6,10.0,0.355,1.7,2.6,0.645,0.7,2.6,3.3,3.1,1.4,0.0,2.6,1.7,2015
14,"Scotty Pippen, Jr.",Villanova,36,33.0,20.4,6.2,14.9,0.416,1.8,5.5,0.325,6.2,8.4,0.744,0.8,2.7,3.6,4.4,1.9,0.2,3.4,2.4,2015
15,Isiaih Mosley,Michigan St,34,31.6,20.4,7.4,14.6,0.504,2.1,4.8,0.427,3.5,3.9,0.902,1.0,5.2,6.2,2.3,1.2,0.2,2.7,2.0,2015
16,Jordan Walker,Alabama,34,31.8,20.3,6.5,16.2,0.4,3.4,8.6,0.396,3.9,4.4,0.88,0.1,2.7,2.8,4.9,1.5,0.0,3.6,1.9,2015
17,Derek St. Hilaire,New Orleans,31,33.4,20.1,6.8,16.3,0.418,1.9,6.0,0.324,4.6,5.5,0.826,0.3,3.6,3.9,2.6,1.8,0.2,3.0,2.3,2015
18,Tanner Holden,West Virginia,36,35.4,20.1,6.8,13.6,0.497,0.4,1.1,0.341,6.1,7.8,0.789,2.2,4.9,7.1,2.6,1.4,0.2,2.5,2.5,2015
